customer_id,gender,age,education_level,business_type,monthly_income_pln,dependents,dwelling_type,residence_area,distance_to_city_km,road_quality_1to5,wealth_estimate_pln,credit_score_300_850,marital_status,preferred_contact,risk_profile,owns_garage,has_children,has_history,monthly_km,previous_vehicle_segment,previous_vehicle_model,previous_trim,previous_financing,previous_insurance,previous_purchase_price,previous_monthly_rate,previous_vehicle_age_at_purchase,current_budget_monthly_max,dti_limit,updated_at
33,F,25,master,employee,40000,4,house,urban,0,5,2653496,592,married,email,low,1,1,False,,,,,,,,,,11330.0,0.37,2025-09-29 05:56:25.242966
34,M,50,vocational,employee,35305,2,house,rural,13,3,875136,660,married,phone,low,1,1,False,,,,,,,,,,10293.0,0.36,2025-10-04 05:56:25.242966
35,F,68,primary,employee,28884,1,apartment,urban,0,5,2123212,537,married,email,medium,0,1,False,,,,,,,,,,7244.0,0.41,2025-09-01 05:56:25.242966
36,M,23,master,unemployed,35288,2,house,urban,0,4,2340090,632,single,chat,high,0,1,True,909.0,compact,B1 Compact,comfort,cash,OC_AC_GAP,99168.0,0.0,4.0,6666.0,0.4,2025-10-01 05:56:25.242966
37,M,67,phd,employee,40000,0,apartment,urban,0,5,3956211,749,single,phone,low,0,0,True,953.0,compact,B1 Compact,tech,lease_48,OC_AC,98725.0,61.96,4.0,13322.0,0.31,2025-08-25 05:56:25.242966
38,M,65,primary,retired,36448,0,house,urban,0,5,2670474,604,married,phone,medium,0,0,False,,,,,,,,,,10224.0,0.34,2025-09-23 05:56:25.242966
39,F,35,secondary,retired,38963,3,house,rural,13,5,2974971,559,married,email,low,0,1,True,1476.0,compact,B2 Hatch,base,cash,OC_AC,76158.0,0.0,1.0,11056.0,0.39,2025-08-22 05:56:25.242966
40,M,54,master,sole_trader,40000,2,apartment,rural,13,3,1128820,760,divorced,phone,low,0,1,True,1074.0,city,A1 CityGo,comfort,lease_36,OC_only,50588.0,41.03,3.0,13781.0,0.33,2025-10-24 05:56:25.242966
41,F,29,master,employee,38367,3,house,urban,0,5,1501399,507,married,email,low,1,1,True,857.0,city,A2 Micro,tech,loan_60,OC_only,73101.0,46.86,1.0,13234.0,0.37,2025-08-27 05:56:25.242966
42,F,61,phd,employee,40000,1,apartment,rural,16,4,991939,748,widowed,phone,medium,1,1,False,,,,,,,,,,11542.0,0.33,2025-10-02 05:56:25.242966
43,M,58,secondary,employee,40000,4,house,urban,0,5,3733229,565,partnership,phone,low,1,1,True,759.0,wagon,D3 Long,comfort,lease_36,OC_AC_GAP,144764.0,117.86,0.0,10117.0,0.39,2025-09-23 05:56:25.242966
44,F,39,secondary,student,23397,2,apartment,urban,0,4,1778586,474,married,phone,low,0,1,True,496.0,wagon,D2 Estate,premium,lease_36,OC_AC_GAP,145517.0,133.58,2.0,6718.0,0.38,2025-08-09 05:56:25.242966
45,M,23,master,employee,40000,3,apartment,rural,24,4,773366,800,single,phone,medium,1,1,True,1344.0,crossover,F1 Cross,base,loan_60,OC_only,127093.0,65.67,2.0,10263.0,0.29,2025-09-18 05:56:25.242966
46,M,73,primary,public_sector,32512,0,apartment,rural,20,4,897009,674,married,phone,low,0,0,True,1470.0,sedan,C2 Executive,comfort,lease_48,OC_AC,113233.0,67.47,3.0,10465.0,0.34,2025-10-25 05:56:25.242966
47,M,44,vocational,sole_trader,19095,0,house,urban,0,5,855826,563,married,phone,low,1,0,True,861.0,crossover,F3 Edge,tech,loan_60,OC_AC_GAP,129977.0,70.21,4.0,5986.0,0.37,2025-09-20 05:56:25.242966
48,M,69,bachelor,employee,37467,3,apartment,rural,16,4,1696437,447,married,phone,low,1,1,False,,,,,,,,,,11908.0,0.42,2025-10-10 05:56:25.242966
49,F,57,master,company_owner,40000,4,apartment,urban,0,5,3328349,558,single,chat,medium,1,1,True,1005.0,wagon,D1 Tourer,base,cash,OC_AC,130029.0,0.0,0.0,11255.0,0.37,2025-09-19 05:56:25.242966
50,F,62,primary,employee,36191,4,house,urban,0,4,1304638,593,married,phone,medium,1,1,False,,,,,,,,,,10708.0,0.37,2025-10-12 05:56:25.242966
51,F,61,bachelor,retired,40000,1,house,rural,27,3,3259550,850,married,phone,medium,1,1,True,1041.0,mpv,G3 Space,base,loan_60,OC_AC_GAP,139128.0,72.15,2.0,10565.0,0.34,2025-09-04 05:56:25.242966
52,M,30,secondary,employee,29124,0,apartment,rural,11,4,1473797,373,single,phone,low,1,0,True,1149.0,compact,B3 Active,base,lease_48,OC_AC,109550.0,67.43,3.0,9914.0,0.41,2025-10-10 05:56:25.242966
53,F,40,bachelor,public_sector,40000,4,house,urban,0,5,1762598,601,divorced,phone,low,1,1,True,877.0,city,A1 CityGo,base,cash,OC_AC,49345.0,0.0,2.0,13259.0,0.35,2025-09-20 05:56:25.242966
54,M,45,phd,retired,40000,3,apartment,rural,16,3,1235957,850,married,phone,medium,0,1,True,1535.0,crossover,F2 Flex,tech,loan_60,OC_AC,128188.0,70.28,0.0,9881.0,0.31,2025-08-07 05:56:25.242966
55,M,47,primary,retired,34812,1,apartment,urban,0,5,3034984,608,married,email,low,0,1,False,,,,,,,,,,11536.0,0.39,2025-09-04 05:56:25.242966
56,M,22,phd,employee,40000,3,house,rural,18,3,2016797,602,married,phone,low,1,1,False,,,,,,,,,,10469.0,0.38,2025-08-29 05:56:25.242966
57,F,50,secondary,retired,40000,4,apartment,rural,21,3,2070878,645,married,email,low,0,1,True,1184.0,compact,B1 Compact,premium,lease_48,OC_AC,72233.0,44.06,0.0,10635.0,0.39,2025-08-23 05:56:25.242966
58,F,28,master,employee,20683,1,apartment,urban,0,5,815940,453,single,phone,low,1,1,False,,,,,,,,,,7223.0,0.41,2025-08-10 05:56:25.242966
59,M,60,secondary,student,38459,3,house,rural,36,3,3431021,833,married,phone,low,0,1,False,,,,,,,,,,11263.0,0.27,2025-08-13 05:56:25.242966
60,F,57,vocational,employee,17875,3,apartment,rural,13,4,1454918,457,single,phone,high,0,1,True,1154.0,mpv,G2 Grand,comfort,lease_48,OC_AC,129829.0,88.96,0.0,3876.0,0.41,2025-08-15 05:56:25.242966
61,F,70,master,employee,40000,2,house,urban,0,4,3525119,850,married,email,low,1,1,False,,,,,,,,,,13804.0,0.29,2025-10-01 05:56:25.242966
62,F,60,master,employee,40000,3,house,urban,0,5,2734652,644,single,chat,medium,1,1,False,,,,,,,,,,9958.0,0.38,2025-09-05 05:56:25.242966
63,F,40,primary,employee,40000,1,apartment,rural,23,4,3028799,577,partnership,phone,low,1,1,False,,,,,,,,,,10948.0,0.39,2025-08-19 05:56:25.242966
64,F,73,master,employee,40000,4,house,rural,27,3,1986401,660,divorced,chat,medium,1,1,True,1076.0,suv,E3 Adventure,base,loan_60,OC_AC,136672.0,71.86,3.0,9049.0,0.32,2025-09-11 05:56:25.242966
65,F,42,master,retired,40000,4,apartment,urban,0,4,2613339,461,married,phone,medium,0,1,False,,,,,,,,,,10472.0,0.43,2025-10-20 05:56:25.242966
66,F,37,secondary,employee,29644,4,house,urban,0,5,1323182,613,single,phone,high,1,1,True,777.0,wagon,D3 Long,comfort,cash,OC_AC_GAP,142753.0,0.0,0.0,5809.0,0.38,2025-09-16 05:56:25.242966
67,M,69,phd,student,40000,3,apartment,urban,0,4,2855996,592,married,email,low,0,1,True,814.0,wagon,D1 Tourer,base,lease_36,OC_AC,147461.0,123.0,0.0,10259.0,0.36,2025-10-12 05:56:25.242966
68,F,40,bachelor,employee,34807,0,house,urban,0,4,2873393,592,married,phone,medium,1,0,False,,,,,,,,,,9922.0,0.37,2025-08-30 05:56:25.242966
69,M,24,secondary,student,30569,1,apartment,urban,0,5,2175423,653,married,phone,low,0,1,False,,,,,,,,,,8647.0,0.38,2025-08-15 05:56:25.242966
70,F,45,primary,student,40000,2,apartment,urban,0,5,2182557,542,married,phone,medium,0,1,False,,,,,,,,,,10654.0,0.34,2025-08-29 05:56:25.242966
71,M,63,master,employee,40000,4,apartment,rural,9,5,2667159,757,divorced,email,high,1,1,True,1377.0,city,A2 Micro,tech,lease_36,OC_AC,53235.0,45.32,2.0,7535.0,0.33,2025-09-12 05:56:25.242966
72,M,30,vocational,company_owner,39099,2,apartment,urban,0,5,2742691,566,married,phone,medium,0,1,False,,,,,,,,,,10183.0,0.4,2025-09-08 05:56:25.242966
73,M,45,master,retired,40000,2,apartment,urban,0,5,3402940,768,married,chat,medium,0,1,False,,,,,,,,,,10822.0,0.32,2025-09-13 05:56:25.242966
74,M,27,bachelor,retired,26080,0,apartment,urban,0,5,1609468,522,married,phone,medium,0,0,False,,,,,,,,,,6676.0,0.4,2025-09-21 05:56:25.242966
75,M,57,secondary,employee,40000,3,apartment,urban,0,4,1123820,678,married,chat,high,0,1,False,,,,,,,,,,8280.0,0.35,2025-10-11 05:56:25.242966
76,M,46,primary,employee,39427,1,apartment,rural,27,3,1681098,695,married,phone,low,0,1,True,756.0,compact,B1 Compact,tech,lease_48,OC_AC,90634.0,60.11,4.0,11083.0,0.33,2025-09-01 05:56:25.242966
77,M,38,master,student,40000,0,apartment,urban,0,5,3000945,778,divorced,email,low,0,0,False,,,,,,,,,,10438.0,0.3,2025-09-30 05:56:25.242966
78,M,32,primary,employee,20522,4,apartment,urban,0,5,1311310,496,single,phone,medium,1,1,True,659.0,mpv,G1 Family,base,lease_48,OC_AC,130784.0,78.18,0.0,4705.0,0.41,2025-10-17 05:56:25.242966
79,F,51,secondary,retired,29918,0,house,urban,0,5,2172069,454,single,phone,high,1,0,False,,,,,,,,,,6572.0,0.4,2025-08-20 05:56:25.242966
80,F,56,phd,employee,40000,0,apartment,urban,0,4,2803518,850,single,phone,low,0,0,True,346.0,sedan,C3 Classic,comfort,lease_36,OC_AC,144426.0,114.35,0.0,10555.0,0.27,2025-09-12 05:56:25.242966
81,F,71,phd,retired,40000,0,apartment,urban,0,5,2320651,699,widowed,email,low,0,0,True,1193.0,city,A2 Micro,base,lease_36,OC_only,50266.0,39.93,2.0,10894.0,0.34,2025-09-15 05:56:25.242966
82,M,44,phd,employee,40000,2,house,rural,12,4,1885631,759,married,phone,low,1,1,False,,,,,,,,,,10659.0,0.31,2025-09-15 05:56:25.242966
83,M,28,phd,employee,40000,0,house,urban,0,5,2558675,787,married,phone,low,1,0,True,1068.0,compact,B2 Hatch,comfort,cash,OC_AC_GAP,101025.0,0.0,0.0,13210.0,0.29,2025-10-24 05:56:25.242966
84,F,65,bachelor,unemployed,33890,4,apartment,urban,0,5,1583340,534,married,chat,low,0,1,True,1019.0,crossover,F3 Edge,comfort,lease_48,OC_only,131804.0,87.04,0.0,9997.0,0.39,2025-09-13 05:56:25.242966
85,M,54,vocational,retired,34781,2,house,urban,0,5,2443483,573,married,phone,low,1,1,True,1037.0,mpv,G3 Space,tech,cash,OC_AC,131377.0,0.0,0.0,10617.0,0.39,2025-09-13 05:56:25.242966
86,M,58,phd,retired,40000,1,house,urban,0,5,3009099,749,divorced,phone,low,0,1,True,898.0,city,A1 CityGo,comfort,loan_60,OC_AC,68853.0,37.78,4.0,12332.0,0.33,2025-09-16 05:56:25.242966
87,F,25,master,public_sector,40000,0,house,urban,0,5,2567799,614,partnership,phone,medium,1,0,True,997.0,suv,E1 SUV,tech,lease_48,OC_AC,202820.0,127.68,1.0,10068.0,0.34,2025-10-31 05:56:25.242966
88,F,37,phd,employee,34894,2,house,urban,0,5,1379002,667,divorced,phone,low,0,1,False,,,,,,,,,,9765.0,0.36,2025-08-25 05:56:25.242966
89,M,62,bachelor,employee,40000,0,apartment,urban,0,5,3139650,669,divorced,phone,low,0,0,True,607.0,wagon,D2 Estate,comfort,lease_48,OC_AC,138577.0,85.71,2.0,11530.0,0.37,2025-09-06 05:56:25.242966
90,F,65,primary,employee,38370,4,apartment,rural,9,4,1257263,657,single,email,low,0,1,False,,,,,,,,,,11645.0,0.4,2025-08-24 05:56:25.242966
91,M,43,bachelor,employee,40000,1,apartment,urban,0,5,1197343,787,single,phone,low,1,1,True,730.0,suv,E3 Adventure,comfort,cash,OC_AC,142544.0,0.0,2.0,11434.0,0.35,2025-09-16 05:56:25.242966
92,F,64,secondary,employee,40000,2,apartment,urban,0,5,2221981,731,married,phone,low,1,1,True,1256.0,compact,B1 Compact,base,lease_48,OC_AC,72427.0,43.58,1.0,10546.0,0.31,2025-10-02 05:56:25.242966
93,M,66,phd,public_sector,40000,0,apartment,urban,0,5,1165677,636,married,email,low,0,0,True,994.0,crossover,F2 Flex,premium,loan_60,OC_AC,114613.0,68.23,0.0,13655.0,0.38,2025-08-18 05:56:25.242966
94,M,41,secondary,employee,34848,0,house,urban,0,5,2790087,639,single,phone,low,1,0,True,721.0,sedan,C3 Classic,premium,cash,OC_AC,148192.0,0.0,3.0,11264.0,0.36,2025-09-30 05:56:25.242966
95,F,69,vocational,employee,40000,1,apartment,rural,48,3,3779801,850,married,phone,medium,0,1,False,,,,,,,,,,9012.0,0.28,2025-09-21 05:56:25.242966
96,M,35,primary,employee,23585,0,house,urban,0,5,536438,499,single,chat,low,1,0,True,933.0,crossover,F3 Edge,comfort,lease_36,OC_AC,139838.0,137.86,3.0,8032.0,0.4,2025-10-30 05:56:25.242966
97,F,33,phd,employee,40000,3,house,urban,0,5,2741649,658,single,phone,low,0,1,False,,,,,,,,,,10682.0,0.39,2025-10-17 05:56:25.242966
98,M,57,master,employee,40000,4,apartment,urban,0,5,2375025,638,single,phone,low,0,1,True,968.0,wagon,D2 Estate,premium,lease_48,OC_AC,101850.0,69.16,2.0,10391.0,0.38,2025-10-21 05:56:25.242966
99,F,55,primary,sole_trader,32798,4,apartment,rural,50,4,2359917,584,divorced,email,low,0,1,True,1195.0,sedan,C3 Classic,comfort,lease_36,OC_AC_GAP,122070.0,107.97,2.0,8768.0,0.35,2025-09-23 05:56:25.242966
100,F,27,secondary,employee,21767,1,house,urban,0,5,1474163,640,married,email,low,1,1,False,,,,,,,,,,7473.0,0.36,2025-10-08 05:56:25.242966
101,M,65,secondary,sole_trader,40000,3,apartment,rural,37,3,2712717,850,married,email,low,0,1,True,905.0,compact,B3 Active,comfort,cash,OC_AC,90252.0,0.0,3.0,10885.0,0.31,2025-10-02 05:56:25.242966
102,F,30,secondary,retired,40000,2,apartment,urban,0,5,1025226,720,divorced,email,low,0,1,False,,,,,,,,,,13148.0,0.3,2025-08-24 05:56:25.242966
103,M,64,phd,sole_trader,40000,0,house,urban,0,5,994299,726,divorced,phone,low,1,0,True,1040.0,compact,B3 Active,comfort,loan_60,OC_AC_GAP,90874.0,48.02,1.0,12572.0,0.3,2025-08-31 05:56:25.242966
104,M,20,primary,company_owner,21750,0,house,rural,16,4,939018,502,married,phone,medium,1,0,True,1123.0,sedan,C3 Classic,comfort,lease_36,OC_AC_GAP,112956.0,91.66,2.0,5687.0,0.4,2025-08-21 05:56:25.242966
105,M,63,vocational,employee,27286,2,house,urban,0,5,2572212,518,divorced,email,low,1,1,True,1209.0,suv,E3 Adventure,comfort,lease_36,OC_AC,177232.0,169.13,1.0,7819.0,0.39,2025-08-19 05:56:25.242966
106,F,63,vocational,employee,37197,2,apartment,urban,0,5,2476863,615,single,email,low,1,1,True,888.0,sedan,C1 Sedan,base,cash,OC_AC_GAP,115691.0,0.0,2.0,9645.0,0.33,2025-10-09 05:56:25.242966
107,F,62,vocational,employee,22893,0,house,urban,0,5,1180315,567,married,email,low,1,0,False,,,,,,,,,,7350.0,0.38,2025-09-06 05:56:25.242966
108,F,56,phd,public_sector,40000,4,apartment,rural,10,4,1019915,724,single,phone,low,0,1,False,,,,,,,,,,11579.0,0.36,2025-08-14 05:56:25.242966
109,F,45,phd,sole_trader,40000,3,house,urban,0,5,3220647,509,married,email,medium,1,1,False,,,,,,,,,,10512.0,0.39,2025-10-04 05:56:25.242966
110,F,58,primary,employee,40000,2,apartment,rural,31,3,1875792,749,married,phone,low,0,1,False,,,,,,,,,,10207.0,0.33,2025-09-28 05:56:25.242966
111,M,35,bachelor,employee,40000,4,apartment,urban,0,5,2470704,611,single,phone,low,0,1,False,,,,,,,,,,13104.0,0.38,2025-09-14 05:56:25.242966
112,F,62,vocational,retired,32558,4,apartment,urban,0,5,2442262,490,married,phone,high,0,1,True,1206.0,crossover,F1 Cross,tech,loan_60,OC_AC,156481.0,81.67,0.0,7664.0,0.41,2025-08-21 05:56:25.242966
113,F,50,vocational,sole_trader,40000,4,house,rural,21,4,1573740,850,married,phone,low,1,1,True,1331.0,sedan,C2 Executive,comfort,loan_60,OC_AC_GAP,98310.0,60.71,4.0,12117.0,0.27,2025-10-18 05:56:25.242966
114,M,45,vocational,sole_trader,37471,1,apartment,urban,0,5,959769,778,married,email,low,0,1,False,,,,,,,,,,11227.0,0.3,2025-09-19 05:56:25.242966
115,F,47,vocational,retired,33255,4,apartment,urban,0,5,1564676,586,single,phone,medium,0,1,True,553.0,compact,B3 Active,comfort,cash,OC_AC,101351.0,0.0,3.0,8213.0,0.36,2025-10-10 05:56:25.242966
116,M,51,secondary,company_owner,40000,2,house,urban,0,5,1756254,718,single,email,high,1,1,True,1380.0,sedan,C3 Classic,tech,loan_60,OC_AC,134518.0,73.85,0.0,8296.0,0.32,2025-08-28 05:56:25.242966
117,M,22,phd,sole_trader,40000,3,house,rural,11,4,2191210,762,married,phone,low,1,1,False,,,,,,,,,,10274.0,0.35,2025-10-10 05:56:25.242966
118,M,27,bachelor,employee,37863,4,house,rural,23,3,2423154,788,divorced,phone,medium,0,1,True,668.0,compact,B3 Active,base,lease_36,OC_AC,100575.0,92.78,1.0,10410.0,0.33,2025-09-29 05:56:25.242966
119,M,33,master,employee,39624,0,house,urban,0,5,1288297,761,divorced,phone,low,0,0,False,,,,,,,,,,10084.0,0.3,2025-09-30 05:56:25.242966
120,M,26,secondary,public_sector,19195,2,house,rural,8,4,909575,415,single,phone,medium,1,1,True,433.0,crossover,F1 Cross,base,lease_48,OC_AC,134386.0,91.9,2.0,4225.0,0.41,2025-10-25 05:56:25.242966
121,F,44,primary,sole_trader,17648,0,house,urban,0,5,422357,612,married,email,low,1,0,True,629.0,sedan,C3 Classic,tech,lease_36,OC_AC,134065.0,128.53,1.0,4467.0,0.39,2025-09-01 05:56:25.242966
122,F,56,primary,employee,40000,1,house,rural,44,4,1533250,810,married,phone,medium,1,1,False,,,,,,,,,,9451.0,0.3,2025-10-09 05:56:25.242966
123,F,55,vocational,sole_trader,34205,2,apartment,rural,15,4,2603312,538,partnership,phone,low,0,1,False,,,,,,,,,,10502.0,0.4,2025-09-17 05:56:25.242966
124,M,45,vocational,employee,27928,4,house,urban,0,5,2029645,399,single,phone,low,1,1,True,543.0,crossover,F1 Cross,tech,lease_48,OC_only,99576.0,63.54,2.0,8884.0,0.45,2025-08-30 05:56:25.242966
125,M,67,phd,retired,40000,4,house,rural,30,3,3351408,669,married,phone,low,0,1,False,,,,,,,,,,11683.0,0.37,2025-08-22 05:56:25.242966
126,M,51,phd,employee,40000,1,apartment,urban,0,4,1284447,638,married,phone,medium,0,1,True,676.0,suv,E1 SUV,premium,lease_48,OC_AC,201439.0,129.42,2.0,10108.0,0.36,2025-08-10 05:56:25.242966
127,F,24,phd,retired,40000,1,house,rural,16,3,1910235,706,single,chat,medium,1,1,True,1240.0,compact,B3 Active,comfort,lease_36,OC_only,81204.0,70.48,4.0,10646.0,0.36,2025-10-20 05:56:25.242966
128,M,62,bachelor,employee,40000,2,house,urban,0,5,2207642,791,single,phone,medium,0,1,False,,,,,,,,,,10710.0,0.31,2025-09-05 05:56:25.242966
129,F,51,bachelor,employee,40000,4,house,urban,0,5,3577013,568,single,phone,high,0,1,True,968.0,compact,B3 Active,base,lease_36,OC_AC,96342.0,83.78,4.0,9904.0,0.43,2025-10-02 05:56:25.242966
130,F,54,bachelor,employee,40000,4,house,urban,0,4,2725233,544,married,chat,low,1,1,True,613.0,compact,B2 Hatch,comfort,cash,OC_only,79250.0,0.0,1.0,13276.0,0.39,2025-08-23 05:56:25.242966
131,F,51,secondary,retired,40000,1,apartment,urban,0,5,3425046,763,married,email,medium,1,1,False,,,,,,,,,,11435.0,0.35,2025-09-27 05:56:25.242966
132,F,50,master,employee,40000,0,house,urban,0,5,1282872,650,married,phone,low,1,0,True,1026.0,compact,B1 Compact,comfort,loan_60,OC_AC,80505.0,40.8,1.0,13377.0,0.35,2025-10-30 05:56:25.242966
133,M,24,master,employee,40000,3,house,urban,0,5,1693886,653,single,email,high,1,1,False,,,,,,,,,,10015.0,0.36,2025-08-15 05:56:25.242966
134,F,50,master,student,40000,1,apartment,rural,24,3,2961242,554,divorced,chat,medium,1,1,True,1261.0,wagon,D1 Tourer,tech,loan_60,OC_AC_GAP,126984.0,66.1,4.0,10577.0,0.39,2025-08-24 05:56:25.242966
135,F,63,bachelor,employee,40000,0,apartment,urban,0,5,2061502,684,married,phone,low,1,0,False,,,,,,,,,,12381.0,0.33,2025-10-02 05:56:25.242966
